"total_females_in_the_household","females_younger_than_12_years_of_age","monthly_rent_payment","number_of_all_rooms_in_the_house","if_the_household_has_refrigerator","total_males_in_the_household","persons_younger_than_12_years_of_age","males_12_years_of_age_and_older","overcrowding_by_rooms","males_younger_than_12_years_of_age","females_12_years_of_age_and_older","overcrowding_by_bedrooms","id","has_bathroom_in_the_household","persons_12_years_of_age_and_older","target","allocated_cluster"
0,0,0,5,1,1,0,1,0,0,0,0,"ID_e080ffb2e",1,1,"four",2
1,0,0,3,1,1,0,1,0,0,1,0,"ID_f9b39fb30",1,2,"four",2
2,0,0,6,1,2,0,2,0,0,2,0,"ID_51836fe5e",1,4,"four",8
1,0,16000,4,1,1,0,1,0,0,1,0,"ID_88aeee135",1,2,"four",2
2,0,0,8,1,2,0,2,0,0,2,0,"ID_8a69ce540",1,4,"four",8
2,1,0,4,1,2,3,0,0,2,1,0,"ID_821ce8ce8",1,1,"one",7
3,0,0,5,1,1,0,1,0,0,3,0,"ID_f3c42783a",1,4,"two",1
2,0,0,5,1,2,1,1,0,1,2,0,"ID_0be328e02",1,3,"four",1
2,0,150000,7,1,1,0,1,0,0,2,0,"ID_7815372ab",1,3,"four",1
1,0,0,5,1,1,0,1,0,0,1,0,"ID_69e2d3a98",1,2,"two",2
1,0,0,7,1,1,0,1,0,0,1,0,"ID_3526cbf34",1,2,"four",2
3,0,0,7,1,1,0,1,0,0,3,0,"ID_2a67a7630",1,4,"four",4
1,0,0,5,1,2,0,2,0,0,1,0,"ID_8e514af98",1,3,"four",8
2,0,0,6,1,3,1,2,0,1,2,0,"ID_199e6267f",1,4,"four",8
2,0,0,5,1,2,1,1,0,1,2,0,"ID_901295a2d",1,3,"four",1
1,0,0,3,1,1,0,1,0,0,1,0,"ID_81bfa87a2",1,2,"two",2
1,0,0,5,1,1,0,1,0,0,1,0,"ID_659a7a506",1,2,"four",2
1,0,0,8,1,2,0,2,0,0,1,0,"ID_752de8443",1,3,"four",8
2,1,90000,3,1,0,1,0,0,0,1,0,"ID_c03ecf87b",1,1,"two",1
1,0,0,5,0,2,0,2,0,0,1,0,"ID_191296267",1,3,"four",5
2,0,0,5,1,2,1,1,0,1,2,0,"ID_25d081992",1,3,"four",1
1,0,0,2,1,1,0,1,0,0,1,0,"ID_6f22cd690",1,2,"four",2
1,0,0,5,1,1,0,1,0,0,1,0,"ID_167bf03f8",1,2,"four",2
3,0,0,5,1,0,0,0,0,0,3,0,"ID_352fa3f45",1,3,"three",1
1,0,0,5,1,2,0,2,0,0,1,0,"ID_e4c5bed31",1,3,"four",8
4,0,0,7,1,1,0,1,0,0,4,0,"ID_47576f7de",1,5,"four",4
2,0,250000,5,1,3,2,1,0,2,2,0,"ID_00f87485f",1,3,"four",7
1,0,0,4,1,1,0,1,0,0,1,0,"ID_24a47418a",1,2,"two",2
2,0,0,4,1,1,1,0,0,1,2,0,"ID_f776a6d30",1,2,"one",1
1,0,285270,5,1,1,0,1,0,0,1,0,"ID_8de45f6e8",1,2,"four",2
2,1,0,4,1,1,1,1,0,0,1,0,"ID_31efaae60",1,2,"three",1
1,0,0,4,1,2,1,1,0,1,1,0,"ID_61175287c",1,2,"four",2
2,1,130000,4,1,2,2,1,0,1,1,0,"ID_39f898dc0",1,2,"four",7
1,0,0,5,1,1,0,1,0,0,1,0,"ID_4271ae48a",1,2,"four",2
1,0,0,4,1,2,0,2,0,0,1,0,"ID_4033b647e",1,3,"four",8
0,0,0,5,1,1,0,1,0,0,0,0,"ID_3f1faa017",1,1,"three",2
3,1,0,8,1,0,1,0,0,0,2,0,"ID_22dedcb78",1,2,"four",1
1,0,120000,5,1,2,1,1,0,1,1,0,"ID_4c736a318",1,2,"four",2
1,0,80000,4,1,1,1,0,0,1,1,0,"ID_47f3fbfbf",1,1,"three",2
2,0,170000,5,1,1,0,1,0,0,2,0,"ID_4e5ffcfa3",1,3,"four",1
1,0,75000,3,1,1,1,0,0,1,1,0,"ID_576015ea3",1,1,"one",2
2,0,0,3,0,1,0,1,0,0,2,0,"ID_ef32d6ceb",1,3,"two",5
1,0,0,3,1,1,0,1,0,0,1,0,"ID_182f09d09",1,2,"two",2
2,0,855810,7,1,1,0,1,0,0,2,0,"ID_fa0b2c37e",1,3,"four",1
1,0,0,4,1,2,2,0,0,2,1,0,"ID_51c2942c5",1,1,"one",7
2,0,0,5,1,4,2,2,0,2,2,0,"ID_713639805",1,4,"two",7
0,0,85000,2,1,1,0,1,0,0,0,0,"ID_12ee9eec6",1,1,"three",2
2,1,110000,5,1,2,1,2,0,0,1,0,"ID_6f4de2fc5",1,3,"four",8
2,1,50000,4,1,2,2,1,0,1,1,0,"ID_8a460e7df",1,2,"two",7
0,0,0,11,1,1,0,1,0,0,0,0,"ID_26022a0b5",1,1,"four",2
1,0,50000,3,1,2,1,1,0,1,1,0,"ID_c963092d4",1,2,"four",2
4,2,0,5,1,2,4,0,0,2,2,0,"ID_36466971e",1,2,"one",7
2,0,0,7,1,0,0,0,0,0,2,0,"ID_64a3f8bbc",1,2,"three",1
1,0,0,2,1,1,0,1,0,0,1,0,"ID_7c660937b",1,2,"three",2
2,1,150000,5,1,1,1,1,0,0,1,0,"ID_2e744f03c",1,2,"four",1
0,0,0,5,1,2,0,2,0,0,0,0,"ID_fc73344b6",1,2,"four",2
1,0,0,8,1,2,0,2,0,0,1,0,"ID_451a7e35a",1,3,"four",8
1,0,0,6,1,2,1,1,0,1,1,0,"ID_37fd2917f",1,2,"two",2
1,0,0,4,1,0,0,0,0,0,1,0,"ID_424a9d8f3",1,1,"three",2
1,0,130000,2,1,0,0,0,0,0,1,0,"ID_cc56180b1",1,1,"four",2
2,0,150000,5,1,0,0,0,0,0,2,0,"ID_5171608a1",1,2,"two",1
3,2,80000,5,1,1,2,1,0,0,1,0,"ID_e2f6ed4b9",1,2,"three",7
1,0,0,5,1,2,0,2,0,0,1,0,"ID_9ab4f44e8",1,3,"four",8
1,0,0,4,1,0,0,0,0,0,1,0,"ID_0eb2cd187",1,1,"four",2
1,0,90000,1,1,2,0,2,1,0,1,0,"ID_f4c5e270a",1,3,"two",3
2,0,0,5,1,2,0,2,0,0,2,0,"ID_5eeaab57b",1,4,"four",8
7,1,0,8,1,5,2,4,0,1,6,0,"ID_a22c6f773",1,10,"four",4
1,0,0,4,1,0,0,0,0,0,1,0,"ID_c156e6080",1,1,"four",2
2,0,0,6,1,2,0,2,0,0,2,0,"ID_fb7552194",1,4,"four",8
2,1,1e+05,5,1,4,1,4,0,0,1,0,"ID_f5dcc9278",1,5,"four",8
3,1,0,5,1,2,2,1,0,1,2,0,"ID_4a49126fc",1,3,"one",7
