"id","monthly_rent_payment","overcrowding_by_bedrooms","number_of_all_rooms_in_the_house","overcrowding_by_rooms","has_bathroom_in_the_household","if_the_household_has_refrigerator","males_younger_than_12_years_of_age","males_12_years_of_age_and_older","total_males_in_the_household","females_younger_than_12_years_of_age","females_12_years_of_age_and_older","total_females_in_the_household","persons_younger_than_12_years_of_age","persons_12_years_of_age_and_older","number_of_persons_living_in_the_household","years_of_schooling","years_behind_in_school","household_size","if_predominant_material_on_the_outside_wall_is_block_or_brick","if_predominant_material_on_the_outside_wall_is_socket_wood_zinc_or_absbesto","if_predominant_material_on_the_outside_wall_is_prefabricated_or_cement","if_predominant_material_on_the_outside_wall_is_waste_material","if_predominant_material_on_the_outside_wall_is_wood","if_predominant_material_on_the_outside_wall_is_zink","if_predominant_material_on_the_outside_wall_is_natural_fibers","if_predominant_material_on_the_outside_wall_is_other","if_predominant_material_on_the_floor_is_mosaic_ceramic_terrazo","if_predominant_material_on_the_floor_is_cement","if_predominant_material_on_the_floor_is_other","if_predominant_material_on_the_floor_is_natural_material","if_no_floor_at_the_household","if_predominant_material_on_the_floor_is_wood","if_predominant_material_on_the_roof_is_metal_foil_or_zink","if_predominant_material_on_the_roof_is_fiber_cement_mezzanine","if_predominant_material_on_the_roof_is_natural_fibers","if_predominant_material_on_the_roof_is_other","if_the_house_has_ceiling","if_water_provision_inside_the_dwelling","if_water_provision_outside_the_dwelling","if_no_water_provision","electricity_from_cnfl_ice_esph_or_jasec","electricity_from_private_plant","no_electricity_in_the_dwelling","no_toilet_in_the_dwelling","toilet_connected_to_septic_tank","toilet_connected_to_black_hole_or_letrine","toilet_connected_to_other_system","no_main_source_of_energy_used_for_cooking_no_kitchen","main_source_of_energy_used_for_cooking_electricity","main_source_of_energy_used_for_cooking_gas","main_source_of_energy_used_for_cooking_wood_charcoal","if_rubbish_disposal_mainly_by_tanker_truck","if_rubbish_disposal_mainly_by_botan_hollow_or_buried","if_rubbish_disposal_mainly_by_burning","if_rubbish_disposal_mainly_by_throwing_in_an_unoccupied_space","if_rubbish_disposal_mainly_other","if_walls_are_bad","if_walls_are_regular","if_walls_are_good","if_roof_are_bad","if_roof_are_regular","if_roof_are_good","if_floor_are_bad","if_floor_are_regular","if_floor_are_good","if_disable_person","if_male","if_female","if_less_than_10_years_old","if_free_or_coupled_uunion","if_married","if_divorced","if_separated","if_single","if_household_head","household_level_identifier","number_of_children_0_to_19_in_household","number_of_adults_in_household","no_of_individuals_65_plus_in_the_household","of_total_individuals_in_the_household","dependency","edjefe","edjefa","meaneduc","no_level_of_education","incomplete_primary","complete_primary","incomplete_academic_secondary_level","complete_academic_secondary_level","incomplete_technical_secondary_level","complete_technical_secondary_level","undergraduate_and_higher_education","postgraduate_higher_education","bedrooms","overcrowding","own_and_fully_paid_house","own_paying_in_installments","rented","precarious","other_assigned_borrowed","if_the_household_has_notebook_or_desktop_computer","if_the_household_has_tv","no_of_mobile_phones","region_central","region_chorotega","region_pacafico_central","region_huetar_atlantica","region_huetar_norte","area_zona_urbana","area_zona_rural","age_in_years","years_of_education_of_male_head_of_household_squared","target"
"ID_4655d2362",0,0,4,0,1,1,0,2,2,0,3,3,0,5,5,8,0.2,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,"a8c988bd6",3,2,0,5,1.5,6,0,14.5,0,0,1,0,0,0,0,0,0,2,2.5,1,0,0,0,0,1,0,5,0,0,0,0,0,1,0,53,36,"four"
"ID_eba812b88",2e+05,0,5,0,1,1,0,1,1,1,2,3,1,3,4,6.75,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,"5bc8a6e4f",1,3,0,4,0.33333334,0,7,8.666667,0,0,0,1,0,0,0,0,0,2,2,0,0,1,0,0,0,0,4,1,0,0,0,0,1,0,40,0,"three"
"ID_89c4066fc",0,0,6,0,1,1,0,1,1,0,1,1,0,2,2,13.5,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,"51cf8548a",0,2,0,2,0,11,0,13.5,0,0,0,0,1,0,0,0,0,3,0.66666669,1,0,0,0,0,0,1,2,1,0,0,0,0,1,0,47,121,"four"
"ID_e0dc3bf4f",0,0,4,0,1,1,0,2,2,0,1,1,0,3,3,6.33333333333333,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,"1cc16daff",1,2,0,3,0.5,6,0,9.5,0,0,1,0,0,0,0,0,0,2,1.5,1,0,0,0,0,0,1,2,1,0,0,0,0,1,0,47,36,"two"
"ID_598653f8f",0,0,6,0,1,1,0,2,2,0,1,1,0,3,3,14.3333333333333,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,"53dc04233",0,3,2,3,2,14,0,14.333333,0,0,0,0,0,0,0,1,0,3,1,1,0,0,0,0,0,0,3,1,0,0,0,0,1,0,67,196,"four"
"ID_861eee1db",0,0,4,0,1,1,1,2,3,0,2,2,1,4,5,5,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,"f62fbd6f0",3,2,0,5,1.5,0,7,6.5,0,0,0,1,0,0,0,0,0,2,2.5,0,0,0,1,0,0,0,4,1,0,0,0,0,1,0,42,0,"three"
"ID_00f87485f",250000,0,5,0,1,1,2,1,3,0,2,2,2,3,5,7,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,"afecff4c6",3,2,0,5,1.5,11,0,16.5,0,0,0,0,1,0,0,0,0,3,1.6666666,0,1,0,0,0,0,1,3,1,0,0,0,0,1,0,44,121,"four"
"ID_bf4751bc1",50000,0,4,0,1,1,1,0,1,0,2,2,1,2,3,6.66666666666667,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,"8957f65c0",1,2,0,3,0.5,0,11,10,0,0,0,0,1,0,0,0,0,1,3,0,1,0,0,0,0,1,2,1,0,0,0,0,1,0,33,0,"three"
"ID_a390e64a5",0,0,7,0,1,1,1,1,2,1,1,2,2,2,4,5.5,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,"ae86765ed",3,1,0,4,3,0,10,10,0,0,0,1,0,0,0,0,0,5,0.80000001,1,0,0,0,0,0,1,2,1,0,0,0,0,1,0,46,0,"two"
"ID_2c92ff3cc",0,0,5,0,1,1,0,1,1,0,3,3,0,4,4,8,0.5,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,"419f92607",1,3,0,4,0.33333334,6,0,8,0,0,1,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,4,0,1,0,0,0,0,1,54,36,"four"
